经 O
核 O
实 O
， O
南 B-LORG
京 I-LORG
华 I-LORG
讯 I-LORG
电 I-LORG
子 I-LORG
科 I-LORG
技 I-LORG
有 I-LORG
限 I-LORG
公 I-LORG
司 I-LORG
违 O
规 O
使 O
用 O
劣 O
质 O
电 O
路 O
板 O
， O
导 O
致 O
设 O
备 O
短 O
路 O
起 O
火 O
， O
烧 O
毁 O
厂 O
房 O
面 O
积 O
约 O
5 O
0 O
0 O
平 O
方 O
米 O
。 O

事 O
故 O
调 O
查 O
组 O
认 O
定 O
, O
沈 O
海 O
高 O
速 O
温 O
岭 O
段 O
“ O
6 O
· O
1 O
3 O
” O
液 O
化 O
石 O
油 O
气 O
运 O
输 O
槽 O
罐 O
车 O
爆 B-TYPE
炸 I-TYPE
事 O
故 O
是 O
一 O
起 O
液 O
化 O
石 O
油 O
气 O
运 O
输 O
槽 O
罐 O
车 O
超 O
速 O
行 O
经 O
高 O
速 O
匝 O
道 O
引 O
起 O
侧 O
翻 O
、 O
碰 O
撞 O
、 O
泄 O
出 O
, O
进 O
而 O
引 O
发 O
爆 B-TYPE
炸 I-TYPE
的 O
重 O
大 O
生 O
产 O
安 O
全 O
责 O
任 O
事 O
故 O
。 O

经 O
调 O
查 O
， O
查 O
明 O
事 O
故 O
的 O
直 O
接 O
原 O
因 O
是 O
， O
事 O
故 O
责 O
任 O
单 O
位 O
泉 O
州 O
市 O
的 O
新 B-LORG
星 I-LORG
机 I-LORG
电 I-LORG
工 I-LORG
贸 I-LORG
有 I-LORG
限 I-LORG
公 I-LORG
司 I-LORG
将 O
欣 B-PORG
佳 I-PORG
酒 I-PORG
店 I-PORG
建 O
筑 O
物 O
由 O
原 O
四 O
层 O
违 O
法 O
增 O
加 O
夹 O
层 O
改 O
建 O
成 O
七 O
层 O
， O
达 O
到 O
极 O
限 O
承 O
载 O
能 O
力 O
并 O
处 O
于 O
坍 O
塌 O
临 O
界 O
状 O
态 O
， O
加 O
之 O
事 O
发 O
前 O
对 O
底 O
层 O
支 O
承 O
钢 O
柱 O
违 O
规 O
加 O
固 O
焊 O
接 O
作 O
业 O
引 O
发 O
钢 O
柱 O
失 O
稳 O
破 O
坏 O
， O
导 O
致 O
建 O
筑 O
物 O
整 O
体 O
坍 O
塌 O
。 O

此 O
外 O
， O
公 O
安 O
机 O
关 O
还 O
发 O
现 O
陈 B-LPER
某 I-LPER
志 I-LPER
、 O
陈 B-LPER
某 I-LPER
亮 I-LPER
、 O
沈 B-LPER
某 I-LPER
俊 I-LPER
、 O
马 B-LPER
某 I-LPER
齐 I-LPER
、 O
李 B-LPER
某 I-LPER
等 O
人 O
其 O
他 O
寻 B-TYPE
衅 I-TYPE
滋 I-TYPE
事 I-TYPE
、 O
聚 B-TYPE
众 I-TYPE
斗 I-TYPE
殴 I-TYPE
、 O
开 O
设 O
赌 O
场 O
等 O
违 O
法 O
犯 O
罪 O
线 O
索 O
。 O

北 O
楼 O
爆 O
炸 O
直 O
接 O
原 O
因 O
为 O
南 O
楼 O
电 O
池 O
间 O
内 O
的 O
单 O
体 O
磷 O
酸 O
铁 O
锂 O
电 O
池 O
发 O
生 O
内 O
短 O
路 O
故 O
障 O
， O
引 O
发 O
电 O
池 O
及 O
电 O
池 O
模 O
组 O
热 O
失 O
控 O
扩 O
散 O
起 O
火 O
， O
事 O
故 O
产 O
生 O
的 O
易 O
燃 O
易 O
爆 O
组 O
分 O
通 O
过 O
电 O
缆 O
沟 O
进 O
入 O
北 O
楼 O
储 O
能 O
室 O
并 O
扩 O
散 O
， O
与 O
空 O
气 O
混 O
合 O
形 O
成 O
爆 B-TYPE
炸 I-TYPE
性 O
气 O
体 O
， O
遇 O
电 O
气 O
火 O
花 O
发 O
生 O
爆 B-TYPE
炸 I-TYPE
。 O

2 B-DATE
0 I-DATE
1 I-DATE
4 I-DATE
年 I-DATE
8 I-DATE
月 I-DATE
2 I-DATE
日 I-DATE
7 B-TIME
时 I-TIME
3 I-TIME
4 I-TIME
分 I-TIME
， O
位 O
于 O
江 O
苏 O
省 O
苏 O
州 O
市 O
昆 O
山 O
市 O
昆 O
山 O
经 O
济 O
技 O
术 O
开 O
发 O
区 O
的 O
昆 B-PORG
山 I-PORG
中 I-PORG
荣 I-PORG
金 I-PORG
属 I-PORG
制 I-PORG
品 I-PORG
有 I-PORG
限 I-PORG
公 I-PORG
司 I-PORG
抛 O
光 O
二 O
车 O
间 O
发 O
生 O
特 O
别 O
重 O
大 O
铝 O
粉 O
尘 O
爆 B-TYPE
炸 I-TYPE
事 O
故 O
， O
当 O
天 O
造 O
成 O
7 B-CLOSS
5 I-CLOSS
人 I-CLOSS
死 I-CLOSS
亡 I-CLOSS
、 O
1 B-CLOSS
8 I-CLOSS
5 I-CLOSS
人 I-CLOSS
受 I-CLOSS
伤 I-CLOSS
。 O

8 B-DATE
月 I-DATE
2 I-DATE
8 I-DATE
日 I-DATE
， O
山 O
东 O
临 O
沂 O
徐 B-PPER
玉 I-PPER
玉 I-PPER
电 O
信 O
诈 B-TYPE
骗 I-TYPE
案 O
的 O
头 O
号 O
犯 O
罪 O
嫌 O
疑 O
人 O
陈 B-LPER
文 I-LPER
辉 I-LPER
落 O
网 O
。 O

期 O
间 O
， O
2 B-TIME
时 I-TIME
4 I-TIME
0 I-TIME
分 I-TIME
， O
陈 B-LPER
某 I-LPER
志 I-LPER
对 O
下 O
班 O
后 O
在 O
同 O
店 O
就 O
餐 O
的 O
王 B-PPER
某 I-PPER
某 I-PPER
（ O
女 O
， O
3 O
1 O
岁 O
） O
进 O
行 O
骚 O
扰 O
， O
遭 O
拒 O
后 O
伙 O
同 O
马 B-LPER
某 I-LPER
齐 I-LPER
（ O
男 O
， O
2 O
5 O
岁 O
） O
、 O
陈 B-LPER
某 I-LPER
亮 I-LPER
等 O
人 O
， O
对 O
王 B-PPER
某 I-PPER
某 I-PPER
、 O
刘 B-PPER
某 I-PPER
某 I-PPER
（ O
女 O
， O
2 O
9 O
岁 O
） O
等 O
4 O
人 O
进 O
行 O
殴 O
打 O
， O
2 B-TIME
时 I-TIME
4 I-TIME
7 I-TIME
分 I-TIME
逃 O
离 O
， O
2 B-TIME
时 I-TIME
5 I-TIME
5 I-TIME
分 I-TIME
4 O
名 O
被 O
害 O
人 O
由 O
1 O
2 O
0 O
送 O
医 O
。 O

9 B-TIME
时 I-TIME
1 I-TIME
6 I-TIME
分 I-TIME
， O
6 O
# O
罐 O
和 O
相 O
邻 O
的 O
8 O
# O
罐 O
底 O
部 O
区 O
域 O
发 O
生 O
爆 B-TYPE
炸 I-TYPE
。 O

经 O
鉴 O
定 O
， O
责 O
任 O
方 O
杭 B-LORG
州 I-LORG
市 I-LORG
绿 I-LORG
源 I-LORG
环 I-LORG
保 I-LORG
公 I-LORG
司 I-LORG
偷 O
排 O
含 O
铅 O
废 O
水 O
， O
河 O
流 O
铅 O
含 O
量 O
超 O
标 O
8 O
倍 O
。 O

约 O
2 B-DATE
0 I-DATE
1 I-DATE
4 I-DATE
年 I-DATE
7 I-DATE
月 I-DATE
3 I-DATE
1 I-DATE
日 I-DATE
2 B-TIME
3 I-TIME
时 I-TIME
5 I-TIME
6 I-TIME
分 I-TIME
后 O
， O
凯 O
旋 O
三 O
路 O
、 O
二 O
圣 O
路 O
、 O
三 O
多 O
一 O
路 O
一 O
带 O
